Id,Male,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,Citizen,Income,Category
88,1,34.0,4.5,1,0,0,7,1.0,1,0,0,0,0,1
581,1,41.0,0.04,1,0,4,7,0.04,0,1,1,2,0,0
117,1,52.5,6.5,1,0,8,7,6.29,1,1,15,0,11202,0
125,1,34.92,5.0,1,0,13,3,7.5,1,1,6,0,1000,0
637,1,19.5,9.585,1,0,0,7,0.79,0,0,0,0,350,1
238,1,42.83,4.625,1,0,10,7,4.58,1,0,0,2,0,0
0,1,30.83,0.0,1,0,12,7,1.25,1,1,1,0,0,0
682,1,17.08,3.29,1,0,6,7,0.335,0,0,0,0,2,1
548,1,33.17,1.0,1,0,13,7,0.75,1,1,7,0,4071,0
468,1,22.08,2.335,1,0,8,7,0.75,0,0,0,0,0,1
417,1,23.58,1.79,1,0,1,7,0.54,0,0,0,0,1,1
116,1,37.75,7.0,1,0,10,3,11.5,1,1,7,0,5,1
228,1,19.67,0.375,1,0,10,7,2.0,1,1,2,0,0,0
306,1,23.5,2.75,1,0,5,2,4.5,0,0,0,0,25,1
589,1,25.33,0.58,1,0,1,7,0.29,1,1,7,0,5124,0
274,1,30.67,2.5,1,0,2,3,2.25,0,0,0,2,0,1
436,1,19.58,0.585,1,0,5,2,0.0,0,1,3,0,769,1
144,1,27.25,1.665,1,0,2,3,5.085,1,1,9,0,827,0
542,1,19.67,10.0,2,2,8,3,0.835,1,0,0,0,0,1
633,1,32.42,2.165,2,2,8,2,0.0,0,0,0,0,0,1
622,0,25.58,0.0,1,0,1,7,0.0,0,0,0,1,0,0
605,0,29.58,1.75,2,2,8,7,1.25,0,0,0,0,0,1
268,1,59.67,1.54,1,0,10,7,0.125,1,0,0,0,0,0
678,0,17.92,10.21,1,0,5,2,0.0,0,0,0,0,50,1
46,0,41.0,2.04,2,2,10,3,0.125,1,1,23,0,1236,0
261,0,52.17,0.0,2,2,5,2,0.0,0,0,0,0,0,1
195,1,28.25,5.04,2,2,1,0,1.5,1,1,8,0,7,0
689,1,35.0,3.375,1,0,1,3,8.29,0,0,0,0,0,1
574,0,20.33,10.0,1,0,1,3,1.0,1,1,4,0,1465,0
107,0,25.0,11.0,2,2,0,7,4.5,1,0,0,0,0,1
538,1,34.25,1.75,1,0,12,0,0.25,1,0,0,0,0,1
514,1,22.67,2.54,2,2,1,3,2.585,1,0,0,0,0,0
319,1,36.75,0.125,2,2,1,7,1.5,0,0,0,0,113,0
100,1,37.5,1.75,2,2,1,0,0.25,1,0,0,0,400,1
457,1,29.67,0.75,2,2,1,7,0.04,0,0,0,0,0,1
615,1,29.42,1.25,1,0,1,3,0.25,0,1,2,0,108,1
329,1,31.56817109144546,4.0,2,2,6,7,0.085,0,0,0,0,0,1
179,1,20.17,8.17,1,0,0,7,1.96,1,1,14,0,158,0
304,0,24.75,13.665,1,0,10,3,1.5,0,0,0,0,1,1
344,1,38.92,1.75,1,0,8,7,0.5,0,0,0,0,2,1
149,0,52.83,15.0,1,0,1,7,5.5,1,1,14,0,2200,0
124,0,23.5,9.0,1,0,10,7,8.5,1,1,5,0,0,0
545,1,44.25,11.0,2,2,3,7,1.5,1,0,0,2,0,1
596,0,46.08,3.0,1,0,1,7,2.375,1,1,8,0,4159,0
185,1,48.75,8.5,1,0,1,3,12.5,1,1,9,0,1655,0
422,1,29.42,1.25,1,0,12,7,1.75,0,0,0,0,0,1
388,1,26.67,14.585,1,0,6,0,0.0,0,0,0,0,0,1
680,1,19.5,0.29,1,0,8,7,0.29,0,0,0,0,364,1
632,0,38.75,1.5,1,0,5,2,0.0,0,0,0,0,0,1
635,1,18.17,2.46,1,0,1,5,0.96,0,1,2,0,587,1
142,1,43.0,0.29,2,2,2,3,1.75,1,1,8,0,375,0
141,0,56.5,16.0,1,0,7,2,0.0,1,1,15,0,247,0
626,1,22.0,7.835,2,2,6,0,0.165,0,0,0,0,0,1
19,0,19.17,8.585,1,0,2,3,0.75,1,1,7,0,0,0
172,1,56.0,12.5,1,0,8,3,8.0,1,0,0,0,2028,0
557,0,32.17,1.46,1,0,12,7,1.085,1,1,16,0,2079,0
312,0,16.33,0.21,1,0,0,7,0.125,0,0,0,0,1,1
641,1,33.17,2.25,2,2,2,7,3.5,0,0,0,0,141,1
12,0,38.25,6.0,1,0,8,7,1.0,1,0,0,0,0,0
305,1,48.75,26.335,2,2,5,2,0.0,1,0,0,0,0,1
25,0,15.83,0.585,1,0,1,3,1.5,1,1,2,0,0,0
512,0,44.33,0.0,1,0,1,7,2.5,1,0,0,0,0,0
169,1,37.5,1.125,2,2,3,7,1.5,0,0,0,0,0,0
532,1,43.17,2.25,1,0,6,0,0.75,1,0,0,0,0,1
408,1,16.0,3.125,1,0,12,7,0.085,0,1,1,0,6,1
245,1,33.17,3.04,2,2,1,3,2.04,1,1,1,0,18027,0
298,1,16.33,2.75,1,0,0,7,0.665,0,1,1,0,21,1
428,1,49.17,2.29,1,0,5,2,0.29,0,0,0,0,3,1
272,1,18.08,6.75,2,2,9,7,0.04,0,0,0,0,0,1
154,1,32.75,1.5,1,0,2,3,5.5,1,1,3,0,0,0
126,1,47.67,2.5,1,0,9,0,2.5,1,1,12,0,2510,0
464,0,23.0,1.835,1,0,7,4,0.0,0,1,1,0,53,1
287,1,29.5,0.58,1,0,12,7,0.29,0,1,1,0,2803,1
113,0,33.75,0.75,1,0,8,0,1.0,1,1,3,0,0,1
362,1,26.83,0.54,1,0,8,2,0.0,0,0,0,0,0,1
173,0,49.83,13.585,1,0,8,3,8.5,1,0,0,0,0,0
350,0,26.17,2.0,1,0,7,4,0.0,0,0,0,0,1,1
57,1,44.33,0.5,1,0,6,3,5.0,1,0,0,0,0,0
437,0,53.33,0.165,1,0,5,2,0.0,0,0,0,2,27,1
222,0,17.58,9.0,1,0,0,7,1.375,1,0,0,0,0,0
280,1,21.17,0.875,2,2,1,3,0.25,0,0,0,0,204,1
17,0,23.25,5.875,1,0,10,7,3.17,1,1,10,0,245,0
399,1,31.0,2.085,1,0,1,7,0.085,0,0,0,0,0,1
322,0,33.67,0.375,1,0,2,7,0.375,0,0,0,0,44,0
255,1,18.17,10.25,1,0,1,3,1.085,0,0,0,0,13,1
411,1,25.17,3.0,1,0,1,7,1.25,0,1,1,0,22,1
660,1,22.25,9.0,1,0,0,7,0.085,0,0,0,0,0,1
190,1,21.33,10.5,1,0,1,7,3.0,1,0,0,0,0,0
465,0,27.58,3.0,1,0,9,7,2.79,0,1,1,0,10,1
607,1,32.33,3.5,1,0,8,7,0.5,0,0,0,0,0,1
591,1,27.0,0.75,1,0,1,3,4.25,1,1,3,0,150,0
94,1,28.75,1.5,2,2,1,7,1.5,1,0,0,0,225,1
180,1,47.67,0.29,1,0,1,0,15.0,1,1,20,0,15000,0
301,1,18.25,0.165,1,0,3,7,0.25,0,0,0,2,0,1
429,1,33.58,0.335,2,2,2,7,0.085,0,0,0,0,0,1
503,1,28.25,5.125,1,0,13,7,4.75,1,1,2,0,7,0
448,1,31.25,1.125,1,0,5,2,0.0,0,1,1,0,19,1
445,0,31.56817109144546,11.25,1,0,5,2,0.0,0,0,0,0,5200,1
473,1,19.17,4.0,2,2,6,7,1.0,0,0,0,0,1000,1
5,1,32.08,4.0,1,0,9,7,2.5,1,0,0,0,0,0
45,1,54.33,6.75,1,0,1,3,2.625,1,1,11,0,284,0
570,1,59.5,2.75,1,0,12,7,1.75,1,1,5,0,58,0
519,1,39.17,1.71,1,0,13,7,0.125,1,1,5,0,0,0
171,1,41.33,0.0,1,0,1,0,15.0,1,0,0,0,0,0
16,1,28.25,0.875,1,0,9,7,0.96,1,1,3,0,0,0
48,1,41.5,1.54,1,0,6,0,3.5,0,0,0,0,0,0
666,0,21.75,11.75,1,0,1,7,0.25,0,0,0,0,0,1
630,0,22.92,1.25,1,0,10,7,0.25,0,0,0,0,809,1
3,1,27.83,1.54,1,0,12,7,3.75,1,1,5,0,3,0
443,1,17.25,3.0,1,0,8,7,0.04,0,0,0,0,40,1
627,1,36.08,2.54,1,0,5,2,0.0,0,0,0,0,1000,1
316,1,21.17,0.25,2,2,1,3,0.25,0,0,0,0,204,1
634,0,23.75,0.71,1,0,12,7,0.25,0,1,1,0,4,1
283,0,16.5,1.25,1,0,10,7,0.25,0,1,1,0,98,1
494,0,18.83,4.415,2,2,1,3,3.0,1,0,0,0,0,0
285,1,17.58,10.0,1,0,12,3,0.165,0,1,1,0,1,1
434,1,58.58,2.71,1,0,1,7,2.415,0,0,0,0,0,1
225,1,23.25,4.0,1,0,1,0,0.25,1,0,0,0,0,0
26,0,47.0,13.0,1,0,6,0,5.165,1,1,9,0,0,0
541,1,42.75,3.0,1,0,6,0,1.0,1,0,0,0,200,1
263,0,20.42,10.5,2,2,13,3,0.0,0,0,0,0,32,1
50,0,25.75,0.5,1,0,1,3,0.875,1,0,0,0,0,0
364,1,24.42,2.0,1,0,4,1,0.165,0,1,2,0,1300,1
229,1,22.08,11.0,1,0,2,7,0.665,1,0,0,0,0,0
37,0,23.0,11.75,1,0,13,3,0.5,1,1,2,0,551,0
157,0,68.67,15.0,1,0,4,8,0.0,1,1,14,0,3376,0
237,1,21.33,7.5,1,0,0,7,1.415,1,1,1,0,9800,0
672,0,50.25,0.835,1,0,0,7,0.5,0,0,0,0,117,1
374,1,28.17,0.585,1,0,0,7,0.04,0,0,0,0,1004,1
370,1,33.0,2.5,2,2,12,7,7.0,0,0,0,0,0,1
175,1,27.0,1.5,2,2,12,7,0.375,1,0,0,0,1065,0
582,1,48.5,4.25,1,0,9,7,0.125,1,0,0,0,0,0
547,1,23.92,1.5,1,0,3,3,1.875,1,1,6,0,327,0
506,0,18.92,9.0,1,0,0,7,0.75,1,1,2,0,591,0
194,1,34.5,4.04,2,2,6,0,8.5,1,1,7,0,0,0
584,0,28.08,15.0,2,2,4,8,0.0,1,0,0,0,13212,0
593,1,34.17,5.25,1,0,12,7,0.085,0,0,0,0,6,0
430,1,51.83,3.0,2,2,5,2,1.5,0,0,0,0,4,1
439,1,25.92,0.875,1,0,8,7,0.375,0,1,2,0,3,1
653,1,21.5,11.5,1,0,6,7,0.5,1,0,0,0,68,1
665,1,31.83,0.04,2,2,9,7,0.04,0,0,0,0,0,1
571,1,21.0,3.0,2,2,3,7,1.085,1,1,8,0,1,0
590,1,30.17,6.5,1,0,2,7,3.125,1,1,8,0,1200,0
67,1,25.5,0.375,1,0,9,7,0.25,1,1,3,0,15108,0
688,1,17.92,0.205,1,0,0,7,0.04,0,0,0,0,750,1
168,1,36.67,3.25,1,0,10,3,9.0,1,0,0,0,639,0
528,0,55.75,7.08,1,0,8,3,6.75,1,1,3,0,50,1
162,1,25.08,1.71,1,0,13,7,1.665,1,1,1,0,20,0
309,0,31.75,3.0,2,2,7,4,0.0,0,0,0,0,20,1
193,1,22.67,1.585,2,2,12,7,3.085,1,1,6,0,0,0
470,0,21.92,11.665,1,0,8,3,0.085,0,0,0,0,5,1
365,1,42.83,1.25,1,0,9,7,13.875,0,1,1,0,112,1
383,0,56.83,4.25,2,2,5,2,5.0,0,0,0,0,4,1
620,1,22.17,2.25,1,0,6,7,0.125,0,0,0,0,10,1
488,1,18.83,3.54,2,2,5,2,0.0,0,0,0,0,1,1
152,1,37.33,6.5,1,0,9,3,4.25,1,1,12,0,0,0
444,0,17.67,0.0,2,2,7,2,0.0,0,0,0,0,0,1
456,1,34.58,0.0,1,0,1,7,0.0,0,0,0,1,0,1
226,1,18.08,5.5,1,0,8,7,0.5,1,0,0,0,0,0
480,0,16.92,0.5,1,0,6,7,0.165,0,1,6,0,35,1
551,1,51.33,10.0,1,0,6,0,0.0,1,1,11,0,1249,0
103,1,25.0,12.0,1,0,8,7,2.25,1,1,2,0,5,1
421,1,20.42,1.085,1,0,10,7,1.5,0,0,0,0,7,1
483,1,23.75,0.415,2,2,1,7,0.04,0,1,2,0,6,1
521,0,30.0,5.29,1,0,4,1,2.25,1,1,5,0,500,0
74,1,44.83,7.0,2,2,1,7,1.625,0,0,0,0,2,1
115,0,25.42,1.125,1,0,10,7,1.29,1,1,2,0,0,1
407,0,19.58,0.665,2,2,1,7,1.0,0,1,1,0,2,1
664,1,31.08,1.5,2,2,12,7,0.04,0,0,0,2,0,1
119,0,20.75,10.335,1,0,2,3,0.335,1,1,1,0,50,0
53,1,34.92,2.5,1,0,12,7,0.0,1,0,0,0,200,0
151,0,58.33,10.0,1,0,10,7,4.0,1,1,14,0,1602,0
403,0,22.67,0.335,1,0,10,7,0.75,0,0,0,2,0,1
649,0,35.17,3.75,1,0,5,2,0.0,0,1,6,0,200,1
207,1,28.67,9.335,1,0,10,3,5.665,1,1,6,0,168,0
451,1,39.5,1.625,1,0,1,7,1.5,0,0,0,0,316,1
479,1,26.5,2.71,2,2,1,7,0.085,0,0,0,2,0,1
575,1,32.25,0.165,2,2,1,3,3.25,1,1,1,0,8000,0
531,0,24.58,0.67,1,0,0,3,1.75,1,0,0,0,0,1
8,1,54.42,0.5,2,2,8,3,3.96,1,0,0,0,314,0
619,1,18.42,10.415,2,2,0,7,0.125,1,0,0,0,375,1
36,1,27.25,1.585,1,0,2,3,1.835,1,1,12,0,713,0
139,0,26.92,13.5,1,0,10,3,5.0,1,1,2,0,5000,0
253,1,23.17,11.125,1,0,13,3,0.46,1,1,1,0,0,0
303,0,15.92,2.875,1,0,10,7,0.085,0,0,0,0,0,1
517,1,16.08,0.75,1,0,1,7,1.75,1,1,5,0,690,0
642,1,31.58,0.75,2,2,0,7,3.5,0,0,0,0,0,1
368,0,23.58,11.5,2,2,8,3,3.0,0,0,0,0,16,1
59,1,43.25,3.0,1,0,10,3,6.0,1,1,11,0,0,0
111,0,24.5,1.04,2,2,5,2,0.5,1,1,3,0,147,1
481,1,23.5,3.165,2,2,8,7,0.415,0,1,1,0,80,1
495,1,19.17,9.5,1,0,12,7,1.5,1,0,0,0,2206,0
485,1,74.83,19.0,2,2,5,2,0.04,0,1,2,0,351,1
262,0,48.17,1.335,1,0,6,6,0.335,0,0,0,0,120,1
577,1,25.17,6.0,1,0,1,7,1.0,1,1,3,0,0,0
297,1,32.92,2.5,1,0,0,7,1.75,0,1,2,0,0,1
414,1,22.25,0.46,1,0,8,7,0.125,0,0,0,0,55,1
150,0,46.67,0.46,1,0,2,3,0.415,1,1,11,0,6,0
433,1,25.25,1.0,1,0,0,7,0.5,0,0,0,0,0,1
440,1,23.08,0.0,1,0,8,7,1.0,0,1,11,2,0,1
266,1,18.33,1.21,2,2,4,1,0.0,0,0,0,0,0,1
598,1,20.08,0.125,1,0,10,7,1.0,0,1,1,0,768,0
359,0,36.75,4.71,1,0,5,2,0.0,0,0,0,0,0,1
610,1,20.0,1.25,2,2,8,7,0.125,0,0,0,0,4,1
38,1,27.75,0.585,2,2,2,7,0.25,1,1,2,0,500,0
127,1,22.75,11.0,1,0,10,7,2.5,1,1,7,0,809,0
423,1,26.17,0.835,1,0,2,7,1.165,0,0,0,0,0,1
416,1,22.5,0.125,2,2,8,7,0.125,0,0,0,0,70,1
307,1,18.58,10.29,1,0,5,2,0.415,0,0,0,0,0,1
198,1,27.58,2.04,2,2,0,7,2.0,1,1,3,0,560,0
351,1,22.17,0.585,2,2,5,2,0.0,0,0,0,0,0,1
486,1,28.17,0.125,2,2,8,7,0.085,0,0,0,0,2100,1
146,1,23.25,1.5,1,0,10,7,2.375,1,1,3,0,582,0
450,1,31.56817109144546,3.0,2,2,6,0,7.0,0,0,0,0,1,1
638,1,28.58,3.625,1,0,0,7,0.25,0,0,0,0,0,1
516,0,60.92,5.0,1,0,0,7,4.0,1,1,4,0,99,0
419,0,26.58,2.54,2,2,5,2,0.0,0,0,0,0,60,1
442,1,30.58,2.71,2,2,9,7,0.125,0,0,0,2,0,1
612,1,22.0,0.79,1,0,12,7,0.29,0,1,1,0,283,1
147,0,40.33,7.54,2,2,10,3,8.0,1,1,14,0,2300,0
558,1,51.42,0.04,1,0,13,3,0.04,1,0,0,0,3000,0
348,1,63.33,0.54,1,0,1,7,0.585,1,1,3,0,0,1
463,0,36.58,0.29,1,0,5,2,0.0,0,1,10,0,18,1
325,0,29.5,1.085,2,2,13,7,1.0,0,0,0,0,13,1
186,1,40.0,6.5,1,0,0,0,3.5,1,1,1,0,500,0
123,0,44.17,6.665,1,0,10,7,7.375,1,1,3,0,0,0
583,1,32.67,9.0,2,2,12,3,5.25,1,0,0,0,0,0
96,1,23.0,0.625,2,2,0,7,0.125,1,0,0,0,1,1
143,1,22.33,11.0,1,0,12,7,2.0,1,1,1,0,278,0
239,1,38.17,10.125,1,0,13,7,2.5,1,1,6,0,196,0
394,1,41.17,1.25,2,2,12,7,0.25,0,0,0,0,195,1
469,1,16.33,4.085,1,0,6,3,0.415,0,0,0,0,0,1
197,1,48.17,7.625,1,0,12,3,15.5,1,1,12,0,790,0
97,1,31.56817109144546,0.5,1,0,1,0,0.835,1,0,0,2,0,1
371,1,26.33,13.0,1,0,4,1,0.0,0,0,0,0,1110,1
324,1,33.67,1.25,1,0,12,7,1.165,0,0,0,0,0,1
279,1,16.25,0.835,1,0,9,7,0.085,1,0,0,2,0,1
293,1,35.75,2.415,1,0,12,7,0.125,0,1,2,0,1,1
254,1,31.56817109144546,0.625,1,0,8,7,0.25,0,0,0,0,2010,1
400,1,20.75,5.085,2,2,7,7,0.29,0,0,0,0,184,1
122,0,24.75,12.5,1,0,0,7,1.5,1,1,12,0,567,0
183,0,57.08,19.5,1,0,1,7,5.5,1,1,7,0,3000,0
202,1,24.83,2.75,1,0,1,7,2.25,1,1,6,0,600,0
438,0,27.17,1.25,1,0,5,2,0.0,0,1,1,0,300,1
323,1,48.58,0.205,2,2,8,7,0.25,1,1,11,0,2732,0
246,1,45.0,8.5,1,0,2,3,14.0,1,1,1,0,2000,0
415,0,22.25,1.25,2,2,5,2,3.25,0,0,0,0,0,1
609,1,47.83,4.165,1,0,13,0,0.085,0,0,0,0,0,1
129,0,28.42,3.5,1,0,12,7,0.835,1,0,0,2,0,0
402,0,51.92,6.5,1,0,6,0,3.085,0,0,0,0,0,1
543,1,36.33,3.79,1,0,12,7,1.165,1,0,0,0,0,1
535,0,33.92,1.585,2,2,5,2,0.0,1,0,0,0,0,1
219,0,18.92,9.25,2,2,1,7,1.0,1,1,4,0,500,0
625,1,23.75,12.0,1,0,1,7,2.085,0,0,0,2,0,1
523,0,22.5,8.5,1,0,10,7,1.75,1,1,10,0,990,1
628,1,29.25,13.0,1,0,3,3,0.5,0,0,0,0,0,1
530,0,25.33,2.085,1,0,1,3,2.75,1,0,0,0,1,1
386,1,22.58,1.5,2,2,0,7,0.54,0,0,0,0,67,1
667,0,17.92,0.54,1,0,1,7,1.75,0,1,1,0,5,1
509,1,21.0,4.79,2,2,12,7,2.25,1,1,1,0,300,0
267,0,32.0,6.0,1,0,3,7,1.25,0,0,0,0,0,1
441,1,39.58,5.0,1,0,5,2,0.0,0,1,2,0,1,1
496,0,25.0,0.875,1,0,13,3,1.04,1,0,0,0,5860,0
112,1,24.58,12.5,1,0,12,7,0.875,1,0,0,0,0,1
232,1,33.5,1.75,1,0,13,3,4.5,1,1,4,0,857,0
